"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m","areal.AFDM.input.g.m.d"
"946","LINP",25,4,2018,2018-04-25,"WOOD",3,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"948","LINP",25,4,2018,2018-04-25,"LEAF",4,"TOWR",30,NA,NA,NA,3.5091,2.51,5.1116,3.5861,0.638446215139442,0.95195007800312,2.38939469578783,4.77878939157566,0.159292979719189
"950","LINP",25,4,2018,2018-04-25,"MISC",4,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"952","LINP",25,4,2018,2018-04-25,"WOOD",4,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"954","LINP",25,4,2018,2018-04-25,"LEAF",5,"TOWR",30,NA,NA,NA,3.6129,1.06,4.6631,3.6616,0.990754716981132,0.953627880403732,1.01084555322796,2.02169110645591,0.0673897035485304
"956","LINP",25,4,2018,2018-04-25,"MISC",5,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"958","LINP",25,4,2018,2018-04-25,"WOOD",5,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"960","LINP",25,4,2018,2018-04-25,"LEAF",6,"TOWR",30,NA,NA,NA,3.6688,0.9,4.6225,3.7443,1.05966666666667,0.920834644018035,0.828751179616232,1.65750235923246,0.0552500786410821
"962","LINP",25,4,2018,2018-04-25,"MISC",6,"TOWR",30,NA,NA,NA,3.5231,0.0536,3.5767,3.5252,1.00000000000001,0.960820895522388,0.0515,0.103,0.00343333333333334
"964","LINP",25,4,2018,2018-04-25,"WOOD",6,"TOWR",30,NA,NA,NA,3.5168,0.2434,3.7602,3.5259,1,0.962612982744453,0.2343,0.4686,0.01562
"966","LINP",25,4,2018,2018-04-25,"LEAF",7,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"968","LINP",25,4,2018,2018-04-25,"MISC",7,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"970","LINP",25,4,2018,2018-04-25,"WOOD",7,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"972","LINP",25,4,2018,2018-04-25,"LEAF",8,"TOWR",30,NA,NA,NA,3.6731,1.59,5.0493,3.7451,0.865534591194968,0.947682022961779,1.50681441650923,3.01362883301846,0.100454294433949
"974","LINP",25,4,2018,2018-04-25,"MISC",8,"TOWR",30,NA,NA,NA,3.6283,0.0266,3.6549,3.6299,1.00000000000001,0.939849624060141,0.0249999999999997,0.0499999999999995,0.00166666666666665
"976","LINP",25,4,2018,2018-04-25,"WOOD",8,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"978","LINP",25,4,2018,2018-04-25,"LEAF",9,"TOWR",30,NA,NA,NA,3.6625,17.64,9.4427,3.8947,0.327675736961451,0.959828379640843,16.9313726168645,33.8627452337289,1.12875817445763
"980","LINP",25,4,2018,2018-04-25,"MISC",9,"TOWR",30,NA,NA,NA,3.5313,0.3252,3.8565,3.5381,1,0.979089790897909,0.3184,0.6368,0.0212266666666667
"982","LINP",25,4,2018,2018-04-25,"WOOD",9,"TOWR",30,NA,NA,NA,3.5399,0.8724,4.4123,3.5815,1,0.952315451627693,0.8308,1.6616,0.0553866666666666
"984","LINP",25,4,2018,2018-04-25,"LEAF",10,"TOWR",30,NA,NA,NA,3.52,11.91,8.2375,3.7122,0.396095717884131,0.959258081611023,11.4247637519873,22.8495275039746,0.761650916799152
"986","LINP",25,4,2018,2018-04-25,"MISC",10,"TOWR",30,NA,NA,NA,3.5338,0.5375,4.0713,3.7305,1,0.634046511627906,0.3408,0.681599999999999,0.02272
"988","LINP",25,4,2018,2018-04-25,"WOOD",10,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"989","LINP",25,4,2018,2018-04-25,"LEAF",11,"TOWR",30,NA,NA,NA,3.6264,0.431,4.0574,3.6429,1,0.961716937354988,0.4145,0.829,0.0276333333333333
"990","LINP",25,4,2018,2018-04-25,"MISC",11,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"991","LINP",25,4,2018,2018-04-25,"WOOD",11,"TOWR",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"992","LINP",25,4,2018,2018-04-25,"LEAF",12,"TOWR",30,NA,NA,NA,3.5346,1.1247,4.6593,3.5716,1,0.967102338401352,1.0877,2.1754,0.0725133333333333
"993","LINP",25,4,2018,2018-04-25,"MISC",12,"TOWR",30,NA,NA,NA,3.6277,0.0419,3.6696,3.6289,1,0.971360381861578,0.0407000000000001,0.0814000000000003,0.00271333333333334
"994","LINP",25,4,2018,2018-04-25,"WOOD",12,"TOWR",30,NA,NA,NA,3.5363,0.228,3.7643,3.5577,0.999999999999999,0.906140350877193,0.2066,0.4132,0.0137733333333333
"996","LINP",25,4,2018,2018-04-25,"LEAF",1,"WS55",30,NA,NA,NA,3.5374,1.12,4.6646,3.6257,1.00642857142857,0.92166430092264,1.03226401703336,2.06452803406671,0.0688176011355571
"998","LINP",25,4,2018,2018-04-25,"MISC",1,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1000","LINP",25,4,2018,2018-04-25,"WOOD",1,"WS55",30,NA,NA,NA,3.5222,7.6597,11.1819,3.649,1,0.98344582686006,7.5329,15.0658,0.502193333333333
"1002","LINP",25,4,2018,2018-04-25,"LEAF",2,"WS55",30,NA,NA,NA,3.5326,5.11,7.7999,3.7558,0.835088062622309,0.947695263984252,4.84272279895953,9.68544559791906,0.322848186597302
"1004","LINP",25,4,2018,2018-04-25,"MISC",2,"WS55",30,NA,NA,NA,3.5452,0.1077,3.6529,3.5526,0.999999999999999,0.931290622098421,0.1003,0.2006,0.00668666666666666
"1006","LINP",25,4,2018,2018-04-25,"WOOD",2,"WS55",30,NA,NA,NA,3.5152,0.1,3.6152,3.5209,1,0.943,0.0943,0.1886,0.00628666666666666
"1008","LINP",25,4,2018,2018-04-25,"LEAF",3,"WS55",30,NA,NA,NA,3.5379,7.79,8.3395,3.7513,0.616379974326059,0.955556481172942,7.44378498833722,14.8875699766744,0.496252332555815
"1010","LINP",25,4,2018,2018-04-25,"MISC",3,"WS55",30,NA,NA,NA,3.5253,0.2073,3.7326,3.5337,1,0.959479015918958,0.1989,0.3978,0.01326
"1012","LINP",25,4,2018,2018-04-25,"WOOD",3,"WS55",30,NA,NA,NA,3.5502,0.1682,3.7184,3.5656,1,0.908442330558858,0.1528,0.3056,0.0101866666666667
"1014","LINP",25,4,2018,2018-04-25,"LEAF",4,"WS55",30,NA,NA,NA,3.5079,35.59,9.8567,3.8178,0.178387187412194,0.951187626008064,33.852767609627,67.705535219254,2.25685117397513
"1016","LINP",25,4,2018,2018-04-25,"MISC",4,"WS55",30,NA,NA,NA,3.6354,0.5168,4.1522,3.6678,0.999999999999999,0.937306501547988,0.4844,0.9688,0.0322933333333333
"1018","LINP",25,4,2018,2018-04-25,"WOOD",4,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1020","LINP",25,4,2018,2018-04-25,"LEAF",5,"WS55",30,NA,NA,NA,3.5451,6.15,8.3812,3.7855,0.786357723577236,0.950290523355596,5.84428671863692,11.6885734372738,0.389619114575795
"1022","LINP",25,4,2018,2018-04-25,"MISC",5,"WS55",30,NA,NA,NA,3.507,0.2351,3.7421,3.6378,1,0.443641003828159,0.1043,0.2086,0.00695333333333335
"1024","LINP",25,4,2018,2018-04-25,"WOOD",5,"WS55",30,NA,NA,NA,3.5342,2.4902,6.0244,3.6315,1,0.960926833186089,2.3929,4.7858,0.159526666666667
"1026","LINP",25,4,2018,2018-04-25,"LEAF",6,"WS55",30,NA,NA,NA,3.5438,7.22,9.6389,3.7914,0.844196675900277,0.959377204639793,6.9267034174993,13.8534068349986,0.461780227833287
"1028","LINP",25,4,2018,2018-04-25,"MISC",6,"WS55",30,NA,NA,NA,3.5358,0.0372,3.573,3.5384,0.999999999999997,0.930107526881716,0.0345999999999998,0.0691999999999997,0.00230666666666666
"1030","LINP",25,4,2018,2018-04-25,"WOOD",6,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1032","LINP",25,4,2018,2018-04-25,"LEAF",7,"WS55",30,NA,NA,NA,3.5461,0.728,4.2741,3.5868,1,0.944093406593406,0.6873,1.3746,0.04582
"1034","LINP",25,4,2018,2018-04-25,"MISC",7,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1036","LINP",25,4,2018,2018-04-25,"WOOD",7,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1038","LINP",25,4,2018,2018-04-25,"LEAF",8,"WS55",30,NA,NA,NA,3.5306,9.97,10.2046,3.8544,0.669408224674022,0.951483368294876,9.48628918189991,18.9725783637998,0.632419278793327
"1040","LINP",25,4,2018,2018-04-25,"MISC",8,"WS55",30,NA,NA,NA,3.5378,0.8851,4.4229,3.5768,1,0.955937182239295,0.8461,1.6922,0.0564066666666667
"1042","LINP",25,4,2018,2018-04-25,"WOOD",8,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1044","LINP",25,4,2018,2018-04-25,"LEAF",9,"WS55",30,NA,NA,NA,3.5308,56.56,11.3124,3.8411,0.137581329561528,0.960123881977999,54.3046067646756,108.609213529351,3.62030711764504
"1046","LINP",25,4,2018,2018-04-25,"MISC",9,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1048","LINP",25,4,2018,2018-04-25,"WOOD",9,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1050","LINP",25,4,2018,2018-04-25,"LEAF",10,"WS55",30,NA,NA,NA,3.5559,4.01,7.4856,3.7347,0.97997506234414,0.954500343537675,3.82754637758607,7.65509275517215,0.255169758505738
"1052","LINP",25,4,2018,2018-04-25,"MISC",10,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1054","LINP",25,4,2018,2018-04-25,"WOOD",10,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1055","LINP",25,4,2018,2018-04-25,"LEAF",11,"WS55",30,NA,NA,NA,3.6219,4.41,7.6604,3.9038,0.915759637188209,0.930196855268045,4.10216813173208,8.20433626346416,0.273477875448805
"1056","LINP",25,4,2018,2018-04-25,"MISC",11,"WS55",30,NA,NA,NA,3.643,0.0424,3.6854,3.6446,1.00000000000001,0.96226415094339,0.0407999999999997,0.0815999999999995,0.00271999999999998
"1057","LINP",25,4,2018,2018-04-25,"WOOD",11,"WS55",30,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1058","LINP",25,4,2018,2018-04-25,"LEAF",12,"WS55",30,NA,NA,NA,3.617,50.99,9.0625,3.8222,0.106795450088253,0.962317509870535,49.0685698282986,98.1371396565972,3.27123798855324
"1059","LINP",25,4,2018,2018-04-25,"MISC",12,"WS55",30,NA,NA,NA,3.554,0.1728,3.7268,3.5595,1,0.968171296296296,0.1673,0.3346,0.0111533333333333
"1060","LINP",25,4,2018,2018-04-25,"WOOD",12,"WS55",30,NA,NA,NA,3.5353,0.2782,3.8135,3.5446,1,0.966570812365205,0.2689,0.5378,0.0179266666666667
"1062","LINP",22,5,2018,2018-05-22,"LEAF",1,"TOWR",28,NA,NA,NA,3.6287,0.1302,3.7589,3.6887,1,0.539170506912443,0.0702000000000001,0.1404,0.00501428571428572
"1064","LINP",22,5,2018,2018-05-22,"MISC",1,"TOWR",28,NA,NA,NA,3.5303,0.1844,3.7147,3.5461,1,0.914316702819956,0.1686,0.3372,0.0120428571428571
"1066","LINP",22,5,2018,2018-05-22,"WOOD",1,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1068","LINP",22,5,2018,2018-05-22,"LEAF",2,"TOWR",28,NA,NA,NA,3.5319,0.5011,4.033,3.5635,1,0.936938734783476,0.4695,0.939,0.0335357142857143
"1070","LINP",22,5,2018,2018-05-22,"MISC",2,"TOWR",28,NA,NA,NA,3.5334,0.3153,3.8487,3.568,1,0.890263241357437,0.2807,0.5614,0.02005
"1072","LINP",22,5,2018,2018-05-22,"WOOD",2,"TOWR",28,NA,NA,NA,3.5345,0.0433,3.5778,3.536,0.999999999999998,0.965357967667435,0.0417999999999999,0.0835999999999999,0.00298571428571428
"1074","LINP",22,5,2018,2018-05-22,"LEAF",3,"TOWR",28,NA,NA,NA,3.5198,0.9096,4.4294,3.568,1,0.947009674582234,0.8614,1.7228,0.0615285714285714
"1076","LINP",22,5,2018,2018-05-22,"MISC",3,"TOWR",28,NA,NA,NA,3.5153,0.0731,3.5884,3.5222,1,0.905608755129954,0.0661999999999997,0.132399999999999,0.0047285714285714
"1078","LINP",22,5,2018,2018-05-22,"WOOD",3,"TOWR",28,NA,NA,NA,3.5543,0.2756,3.8299,3.5659,0.999999999999999,0.957910014513788,0.264,0.528,0.0188571428571429
"1080","LINP",22,5,2018,2018-05-22,"LEAF",4,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1082","LINP",22,5,2018,2018-05-22,"MISC",4,"TOWR",28,NA,NA,NA,3.5304,0.0632,3.5936,3.5432,0.999999999999995,0.79746835443038,0.0504,0.1008,0.0036
"1084","LINP",22,5,2018,2018-05-22,"WOOD",4,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1086","LINP",22,5,2018,2018-05-22,"LEAF",5,"TOWR",28,NA,NA,NA,3.6554,0.6518,4.3072,3.6559,0.999999999999999,0.999232893525622,0.6513,1.3026,0.0465214285714286
"1088","LINP",22,5,2018,2018-05-22,"MISC",5,"TOWR",28,NA,NA,NA,3.5326,0.2893,3.8219,3.5509,1,0.936743864500518,0.271,0.542,0.0193571428571429
"1090","LINP",22,5,2018,2018-05-22,"WOOD",5,"TOWR",28,NA,NA,NA,3.5272,0.206,3.7332,3.5322,1,0.975728155339806,0.201,0.402,0.0143571428571429
"1092","LINP",22,5,2018,2018-05-22,"LEAF",6,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1094","LINP",22,5,2018,2018-05-22,"MISC",6,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1096","LINP",22,5,2018,2018-05-22,"WOOD",6,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1098","LINP",22,5,2018,2018-05-22,"LEAF",7,"TOWR",28,NA,NA,NA,3.5204,0.3079,3.8283,3.5397,1,0.9373173108152,0.2886,0.5772,0.0206142857142857
"1100","LINP",22,5,2018,2018-05-22,"MISC",7,"TOWR",28,NA,NA,NA,3.6675,0.0738,3.7413,3.6757,0.999999999999998,0.888888888888889,0.0656,0.1312,0.00468571428571429
"1102","LINP",22,5,2018,2018-05-22,"WOOD",7,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1104","LINP",22,5,2018,2018-05-22,"LEAF",8,"TOWR",28,NA,NA,NA,3.616,2.3601,5.9761,3.7448,1,0.945426041269438,2.2313,4.4626,0.159378571428571
"1106","LINP",22,5,2018,2018-05-22,"MISC",8,"TOWR",28,NA,NA,NA,3.6576,0.2814,3.939,3.6732,1,0.94456289978678,0.2658,0.5316,0.0189857142857143
"1108","LINP",22,5,2018,2018-05-22,"WOOD",8,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1110","LINP",22,5,2018,2018-05-22,"LEAF",9,"TOWR",28,NA,NA,NA,3.6121,11.08,8.7833,3.8226,0.466714801444043,0.959293780940594,10.6289750928218,21.2579501856436,0.759212506630127
"1112","LINP",22,5,2018,2018-05-22,"MISC",9,"TOWR",28,NA,NA,NA,3.6749,1.874,5.5489,3.7385,1,0.966061899679829,1.8104,3.6208,0.129314285714286
"1114","LINP",22,5,2018,2018-05-22,"WOOD",9,"TOWR",28,NA,NA,NA,3.5512,0.3905,3.9417,3.5843,1,0.915236875800257,0.3574,0.714800000000001,0.0255285714285714
"1116","LINP",22,5,2018,2018-05-22,"LEAF",10,"TOWR",28,NA,NA,NA,3.6329,4.96,8.4958,3.8345,0.980423387096774,0.958543256081762,4.75437455016554,9.50874910033108,0.339598182154681
"1118","LINP",22,5,2018,2018-05-22,"MISC",10,"TOWR",28,NA,NA,NA,3.5376,1.5222,5.0598,3.6416,1,0.931677834712915,1.4182,2.8364,0.1013
"1120","LINP",22,5,2018,2018-05-22,"WOOD",10,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1121","LINP",22,5,2018,2018-05-22,"LEAF",11,"TOWR",28,NA,NA,NA,3.6482,1.2195,4.8677,3.7039,1,0.954325543255433,1.1638,2.3276,0.0831285714285714
"1122","LINP",22,5,2018,2018-05-22,"MISC",11,"TOWR",28,NA,NA,NA,3.538,0.6126,4.1506,3.5766,1,0.936989879203395,0.574,1.148,0.041
"1123","LINP",22,5,2018,2018-05-22,"WOOD",11,"TOWR",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1124","LINP",22,5,2018,2018-05-22,"LEAF",12,"TOWR",28,NA,NA,NA,3.5461,0.1097,3.6558,3.5508,1,0.957155879671831,0.105,0.21,0.00749999999999999
"1125","LINP",22,5,2018,2018-05-22,"MISC",12,"TOWR",28,NA,NA,NA,3.5298,0.5262,4.056,3.5602,1,0.9422272900038,0.4958,0.9916,0.0354142857142857
"1126","LINP",22,5,2018,2018-05-22,"WOOD",12,"TOWR",28,NA,NA,NA,3.6205,0.0815,3.702,3.6242,1,0.954601226993862,0.0777999999999998,0.1556,0.00555714285714284
"1128","LINP",22,5,2018,2018-05-22,"LEAF",1,"WS55",28,NA,NA,NA,3.5179,0.382,3.8999,3.5455,1,0.927748691099476,0.3544,0.7088,0.0253142857142857
"1130","LINP",22,5,2018,2018-05-22,"MISC",1,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1132","LINP",22,5,2018,2018-05-22,"WOOD",1,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1134","LINP",22,5,2018,2018-05-22,"LEAF",2,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1136","LINP",22,5,2018,2018-05-22,"MISC",2,"WS55",28,NA,NA,NA,3.5097,0.4311,3.9408,3.5363,1,0.938297378798422,0.4045,0.809,0.0288928571428571
"1138","LINP",22,5,2018,2018-05-22,"WOOD",2,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1140","LINP",22,5,2018,2018-05-22,"LEAF",3,"WS55",28,NA,NA,NA,3.5488,2.1973,5.7461,3.6792,1,0.940654439539435,2.0669,4.1338,0.147635714285714
"1142","LINP",22,5,2018,2018-05-22,"MISC",3,"WS55",28,NA,NA,NA,3.5253,0.3189,3.8442,3.5441,0.999999999999999,0.941047350266542,0.3001,0.600200000000001,0.0214357142857143
"1144","LINP",22,5,2018,2018-05-22,"WOOD",3,"WS55",28,NA,NA,NA,3.5354,10.6593,14.1947,3.6444,1,0.989774187798449,10.5503,21.1006,0.753592857142857
"1146","LINP",22,5,2018,2018-05-22,"LEAF",4,"WS55",28,NA,NA,NA,3.5449,3.1411,6.686,3.6889,1,0.954156187322912,2.9971,5.9942,0.214078571428571
"1148","LINP",22,5,2018,2018-05-22,"MISC",4,"WS55",28,NA,NA,NA,3.5325,1.0929,4.6254,3.6749,1,0.869704456034404,0.9505,1.901,0.0678928571428571
"1150","LINP",22,5,2018,2018-05-22,"WOOD",4,"WS55",28,NA,NA,NA,0.541,4.0554,4.5964,3.5986,1,0.246042313951768,0.9978,1.9956,0.0712714285714286
"1152","LINP",22,5,2018,2018-05-22,"LEAF",5,"WS55",28,NA,NA,NA,3.6695,0.7504,4.4199,3.7003,1,0.958955223880597,0.7196,1.4392,0.0514
"1154","LINP",22,5,2018,2018-05-22,"MISC",5,"WS55",28,NA,NA,NA,3.532,0.0509,3.5829,3.5371,0.999999999999999,0.899803536345774,0.0457999999999999,0.0915999999999998,0.00327142857142856
"1156","LINP",22,5,2018,2018-05-22,"WOOD",5,"WS55",28,NA,NA,NA,3.6226,0.0348,3.6574,3.6251,1,0.928160919540219,0.0322999999999996,0.0645999999999992,0.00230714285714283
"1158","LINP",22,5,2018,2018-05-22,"LEAF",6,"WS55",28,NA,NA,NA,3.5101,0.1337,3.6438,3.5154,1,0.960359012715033,0.1284,0.2568,0.00917142857142857
"1160","LINP",22,5,2018,2018-05-22,"MISC",6,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1162","LINP",22,5,2018,2018-05-22,"WOOD",6,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1164","LINP",22,5,2018,2018-05-22,"LEAF",7,"WS55",28,NA,NA,NA,3.5404,0.7868,4.3272,3.5883,1,0.939120488052873,0.7389,1.4778,0.0527785714285714
"1166","LINP",22,5,2018,2018-05-22,"MISC",7,"WS55",28,NA,NA,NA,3.555,0.1135,3.6685,3.5698,0.999999999999997,0.869603524229077,0.0987000000000003,0.197400000000001,0.00705000000000002
"1168","LINP",22,5,2018,2018-05-22,"WOOD",7,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1170","LINP",22,5,2018,2018-05-22,"LEAF",8,"WS55",28,NA,NA,NA,3.6628,0.301,3.9638,3.6811,1,0.939202657807309,0.2827,0.5654,0.0201928571428571
"1172","LINP",22,5,2018,2018-05-22,"MISC",8,"WS55",28,NA,NA,NA,3.6284,0.1662,3.7946,3.6502,0.999999999999999,0.868832731648617,0.1444,0.2888,0.0103142857142857
"1174","LINP",22,5,2018,2018-05-22,"WOOD",8,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1176","LINP",22,5,2018,2018-05-22,"LEAF",9,"WS55",28,NA,NA,NA,3.5348,17.32,8.5428,3.7231,0.289145496535797,0.962400159744409,16.6687707667732,33.3375415335463,1.19062648334094
"1178","LINP",22,5,2018,2018-05-22,"MISC",9,"WS55",28,NA,NA,NA,3.6272,0.7898,4.417,3.6829,1,0.929475816662446,0.7341,1.4682,0.0524357142857143
"1180","LINP",22,5,2018,2018-05-22,"WOOD",9,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1182","LINP",22,5,2018,2018-05-22,"LEAF",10,"WS55",28,NA,NA,NA,3.5585,3.01,6.5893,3.6829,1.00691029900332,0.958954731424046,2.88645374158638,5.77290748317276,0.20617526725617
"1184","LINP",22,5,2018,2018-05-22,"MISC",10,"WS55",28,NA,NA,NA,3.5385,0.8215,4.36,3.5936,1,0.932927571515521,0.7664,1.5328,0.0547428571428571
"1186","LINP",22,5,2018,2018-05-22,"WOOD",10,"WS55",28,NA,NA,NA,3.6292,0.1226,3.7518,3.6344,0.999999999999999,0.957585644371942,0.1174,0.2348,0.00838571428571429
"1187","LINP",22,5,2018,2018-05-22,"LEAF",11,"WS55",28,NA,NA,NA,3.5405,0.7394,4.2799,3.5874,0.999999999999999,0.936570192047606,0.6925,1.385,0.0494642857142857
"1188","LINP",22,5,2018,2018-05-22,"MISC",11,"WS55",28,NA,NA,NA,3.5107,0.0859,3.5966,3.5336,1,0.733410942956928,0.0630000000000001,0.126,0.00450000000000001
"1189","LINP",22,5,2018,2018-05-22,"WOOD",11,"WS55",28,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1190","LINP",22,5,2018,2018-05-22,"LEAF",12,"WS55",28,NA,NA,NA,3.6135,9.12,7.4454,3.7788,0.420164473684211,0.9568621310577,8.72658263524622,17.4531652704924,0.623327331089016
"1191","LINP",22,5,2018,2018-05-22,"MISC",12,"WS55",28,NA,NA,NA,3.5376,2.2303,5.7679,3.6682,1,0.941442855221271,2.0997,4.1994,0.149978571428571
"1192","LINP",22,5,2018,2018-05-22,"WOOD",12,"WS55",28,NA,NA,NA,3.5277,4.1627,7.6904,3.7039,1,0.957671703461695,3.9865,7.973,0.28475
"1194","LINP",20,6,2018,2018-06-20,"LEAF",1,"TOWR",29,NA,NA,NA,3.5346,0.052,3.5866,3.537,0.999999999999992,0.953846153846159,0.0496000000000002,0.0992000000000005,0.00342068965517243
"1196","LINP",20,6,2018,2018-06-20,"MISC",1,"TOWR",29,NA,NA,NA,3.5167,0.1332,3.6499,3.5397,1,0.82732732732733,0.1102,0.220400000000001,0.00760000000000002
"1198","LINP",20,6,2018,2018-06-20,"WOOD",1,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1200","LINP",20,6,2018,2018-06-20,"LEAF",2,"TOWR",29,NA,NA,NA,3.5382,0.4824,4.0206,3.5654,1,0.943615257048093,0.4552,0.9104,0.0313931034482759
"1202","LINP",20,6,2018,2018-06-20,"MISC",2,"TOWR",29,NA,NA,NA,3.5312,0.1853,3.7165,3.5605,0.999999999999999,0.841878035617916,0.156,0.312,0.0107586206896552
"1204","LINP",20,6,2018,2018-06-20,"WOOD",2,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1206","LINP",20,6,2018,2018-06-20,"LEAF",3,"TOWR",29,NA,NA,NA,3.5353,0.722,4.2573,3.5637,1,0.960664819944598,0.6936,1.3872,0.0478344827586207
"1208","LINP",20,6,2018,2018-06-20,"MISC",3,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1210","LINP",20,6,2018,2018-06-20,"WOOD",3,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1212","LINP",20,6,2018,2018-06-20,"LEAF",4,"TOWR",29,NA,NA,NA,3.5532,0.749,4.3022,3.5837,1,0.959279038718291,0.7185,1.437,0.049551724137931
"1214","LINP",20,6,2018,2018-06-20,"MISC",4,"TOWR",29,NA,NA,NA,3.6956,0.1206,3.8162,3.7066,0.999999999999997,0.908789386401329,0.1096,0.219200000000001,0.00755862068965519
"1216","LINP",20,6,2018,2018-06-20,"WOOD",4,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1218","LINP",20,6,2018,2018-06-20,"LEAF",5,"TOWR",29,NA,NA,NA,3.5347,1.144,4.6787,3.5882,1,0.953234265734266,1.0905,2.181,0.0752068965517241
"1220","LINP",20,6,2018,2018-06-20,"MISC",5,"TOWR",29,NA,NA,NA,3.6673,0.1385,3.8058,3.6755,1,0.940794223826715,0.1303,0.2606,0.00898620689655173
"1222","LINP",20,6,2018,2018-06-20,"WOOD",5,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1224","LINP",20,6,2018,2018-06-20,"LEAF",6,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1226","LINP",20,6,2018,2018-06-20,"MISC",6,"TOWR",29,NA,NA,NA,3.5422,0.0469,3.5891,3.545,1.00000000000001,0.940298507462684,0.0440999999999999,0.0881999999999998,0.00304137931034482
"1228","LINP",20,6,2018,2018-06-20,"WOOD",6,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"1230","LINP",20,6,2018,2018-06-20,"LEAF",7,"TOWR",29,NA,NA,NA,3.5349,2.81,6.3369,3.7,0.997153024911032,0.941077801570307,2.64442862241256,5.28885724482512,0.182374387752591
"1232","LINP",20,6,2018,2018-06-20,"MISC",7,"TOWR",29,NA,NA,NA,3.63,0.5152,4.1452,3.8211,1,0.629076086956522,0.3241,0.6482,0.022351724137931
